title,details,link
Acquired amegakaryocytic thrombocytopenia,Other names: AAT;  Acquired pure megakaryocytic aplasia;  Severe thrombocytopenia and selective;  marked decrease or absence of megakaryocytes,diseases/9596/acquired-amegakaryocytic-thrombocytopenia
Acquired angioedema,Other names: Acquired C1 inhibitor deficiency;  Angioedema;  acquired,diseases/8605/acquired-angioedema
Acquired generalized lipodystrophy,Other names: Acquired lipoatrophic diabetes;  Lawrence syndrome;  Lawrence-Seip syndrome,diseases/12603/acquired-generalized-lipodystrophy
Acquired hemophilia,Other names: Acquired haemophilia;  Hemophilia;  acquired,diseases/10350/acquired-hemophilia
Acquired hemophilia A,Other names: Acquired factor 8 deficiency;  Acquired factor VII deficiency;  Factor 8 deficiency;  acquired;  Factor VIII deficiency;  acquired;  Hemophilia A;  acquired,diseases/6405/acquired-hemophilia-a
Acquired pure red cell aplasia,Other names: Acquired PRCA;  Adult pure red cell aplasia;  Idiopathic pure red cell aplasia,diseases/10898/acquired-pure-red-cell-aplasia
Acquired Von Willebrand syndrome,Other names: Acquired Von Willebrand disease;  Willebrand disease;  acquired,diseases/5573/acquired-von-willebrand-syndrome
Acral lentiginous melanoma,Other names: Acral lentiginous malignant melanoma of skin;  ALM;  Palmar/plantar melanoma;  Subungual melanoma,diseases/9570/acral-lentiginous-melanoma
Acral peeling skin syndrome,Other names: Acral deciduous skin;  Acral PSS;  Localized deciduous skin;  Localized PSS,diseases/12863/acral-peeling-skin-syndrome
Acro-pectoro-renal field defect,Other names: Brachydactyly;  absent pectoral muscles and agenesis/hypoplasia of kidneys,diseases/511/acro-pectoro-renal-field-defect
"Acrocallosal syndrome, Schinzel type",Other names: Absence of corpus callosum with unusual facial appearance;  mental deficiency;  duplication of the halluces and polydactyly;  ACLS;  Acrocallosal syndrome;  ACS;  Schinzel acrocallosal syndrome;  Schinzel syndrome 1,diseases/5721/acrocallosal-syndrome-schinzel-type
Acrocapitofemoral dysplasia,Other names: ACFD,diseases/10605/acrocapitofemoral-dysplasia
Acrocardiofacial syndrome,Other names: ACFS;  Acro-cardio-facial syndrome;  CCGE syndrome;  Cleft palate;  Cardiac defect;  Genital anomalies;  and Ectrodactily;  Cleft palate-cardiac defect-genital anomalies-ectrodactyly syndrome,diseases/1167/acrocardiofacial-syndrome
Acrocephalopolydactyly,Other names: Acrocephalopolydactylous dysplasia;  Elejalde syndrome,diseases/2096/acrocephalopolydactyly
Acrodermatitis,,diseases/5722/acrodermatitis
Acrodermatitis enteropathica,Other names: Acrodermatitis enteropathica zinc deficiency type;  AE;  AEZ;  Brandt syndrome;  Danbolt-Cross syndrome,diseases/5723/acrodermatitis-enteropathica
Acrodysostosis,Other names: Acrodysplasia;  Arkless-Graham syndrome;  Maroteaux-Malamut syndrome;  Nasal hypoplasia-peripheral dysostosis-intellectual disability syndrome;  Peripheral dysostosis-nasal hypoplasia-intellectual disability (PNM) syndrome,diseases/5724/acrodysostosis
Acrodysplasia scoliosis,Other names: Brachydactyly-scoliosis-carpal fusion syndrome;  Prata-Liberal-Goncalves syndrome,diseases/491/acrodysplasia-scoliosis
"Acrodysplasia with ossification abnormalities, short stature and fibular hypoplasia",,diseases/10076/acrodysplasia-with-ossification-abnormalities-short-stature-and-fibular-hypoplasia
Acrofacial dysostosis Catania type,Other names: ACD;  AFD Catania type;  Opitz Mollica Sorge syndrome,diseases/494/acrofacial-dysostosis-catania-type
Acrofacial dysostosis Palagonia type,Other names: AFD- Palagonia type;  PAFD;  Palagonia form of AFD;  Palagonia type of acrofacial dysostosis,diseases/499/acrofacial-dysostosis-palagonia-type
Acrofacial dysostosis Rodriguez type,Other names: Rodriguez lethal acrofacial dysostosis syndrome,diseases/496/acrofacial-dysostosis-rodriguez-type
Acrofrontofacionasal dysostosis syndrome,Other names: Acro fronto facio nasal dysostosis;  AFFN dysostosis 1;  Cleft lip/palate with frontonasal dysostosis and postaxial polysyndactyly;  Polysyndactyly;  postaxial;  frontonasal dysostosis and cleft lip/palate,diseases/484/acrofrontofacionasal-dysostosis-syndrome
"Acrogeria, Gottron type",Other names: Acrogeria;  Acrometageria;  Familial acrogeria;  Gottron syndrome;  Metageria,diseases/6543/acrogeria-gottron-type
Acrokeratoelastoidosis of Costa,Other names: AKE;  Collagenous plaques of hand and feet;  Palmoplantar keratoderma;  punctate type 3,diseases/125/acrokeratoelastoidosis-of-costa
"Acromegaloid changes, cutis verticis gyrata and corneal leukoma",Other names: Rosenthal-Kloepfer syndrome,diseases/500/acromegaloid-changes-cutis-verticis-gyrata-and-corneal-leukoma
Acromegaloid facial appearance syndrome,Other names: AFA syndrome;  Thick lips and oral mucosa,diseases/501/acromegaloid-facial-appearance-syndrome
"Acromegaloid features, overgrowth, cleft palate and hernia",Other names: AOCH,diseases/10194/acromegaloid-features-overgrowth-cleft-palate-and-hernia
Acromegaly,Other names: Growth hormone excess;  Pituitary giant;  Somatotroph adenoma,diseases/5725/acromegaly
Acromelanosis,Other names: Progressive acromelanosis,diseases/4500/acromelanosis
Acromelic frontonasal dysostosis,Other names: AFND,diseases/5539/acromelic-frontonasal-dysostosis
Acromesomelic dysplasia,Other names: Acromesomelic dwarfism,diseases/6/acromesomelic-dysplasia
Acromesomelic dysplasia Campailla Martinelli type,Other names: Mesomelic dwarfism Campailla-Martinelli type,diseases/505/acromesomelic-dysplasia-campailla-martinelli-type
Acromesomelic dysplasia Hunter Thompson type,,diseases/506/acromesomelic-dysplasia-hunter-thompson-type
Acromesomelic dysplasia Maroteaux type,Other names: Acromesomelic dwarfism Maroteux type;  AMDM,diseases/507/acromesomelic-dysplasia-maroteaux-type
Acromicric dysplasia,Other names: Acromicric skeletal dysplasia,diseases/7/acromicric-dysplasia
Acroosteolysis dominant type,Other names: Acroosteolysis with osteoporosis and changes in skull and mandible;  Arthrodentoosteodysplasia;  Cheney syndrome;  Hajdu-Cheney syndrome;  Serpentine fibula-polycystic kidneys syndrome,diseases/508/acroosteolysis-dominant-type
Acroosteolysis-keloid-like lesions-premature aging syndrome,Other names: Penttinen-Aula syndrome;  Premature aging syndrome Penttinen type;  Prematurely aged appearance;  delayed bone maturation;   acro-osteolysis;  and brachydactyly,diseases/4276/acroosteolysis-keloid-like-lesions-premature-aging-syndrome
Acropectoral syndrome,Other names: Acro-pectoral syndrome;  ACRP syndrome;  ACRPS;  Syndactyly;  preaxial polydactyly and sternal deformity,diseases/8485/acropectoral-syndrome
Acropectorovertebral dysplasia F form,Other names: Acropectorovertebral dysplasia;  ACRPV;  F syndrome,diseases/512/acropectorovertebral-dysplasia-f-form
Acrorenal mandibular syndrome,Other names: Acro-renal-uterine-mandibular syndrome;  Split hand split foot mandibular hypoplasia,diseases/480/acrorenal-mandibular-syndrome
Acrorenal syndrome recessive,Other names: Acrorenal syndrome autosomal recessive;  Curran syndrome,diseases/514/acrorenal-syndrome-recessive
Acrospiroma,Other names: Eccrine Acrospiroma;  Hidradenoma,diseases/5726/acrospiroma
ACSL4-related intellectual disability,,diseases/5613/acsl4-related-intellectual-disability
ACTG2-related disorders,,diseases/12743/actg2-related-disorders
ACTH-independent macronodular adrenal hyperplasia,Other names: ACTH-independent macronodular adrenocortical hyperplasia;  Adrenocorticotropic hormone-independent macronodular adrenal hyperplasia;  AIMAH;  Corticotropin-independent macronodular adrenal hyperplasia;  Massive macronodular adrenocortical disease;  MMAD;  Primary macronodular adrenal hyperplasia,diseases/10824/acth-independent-macronodular-adrenal-hyperplasia
ACTH-secreting pituitary adenoma,Other names: Corticotroph pituitary adenoma;  Cushing disease;  Cushing's Disease;  Pituitary corticotroph micro-adenoma;  Pituitary dependent Cushing syndrome;  Pituitary-dependent Cushing syndrome,diseases/12867/acth-secreting-pituitary-adenoma
Actinic cheilitis,Other names: Actinic cheilosis,diseases/9619/actinic-cheilitis
Actinic lichen planus,Other names: Actinic LP;  Lichen planus actinus;  Lichen planus subtropicus;  Lichen planus tropicus;  Lichenoid melanodermatitis;  Summertime actinic lichenoid eruption,diseases/12673/actinic-lichen-planus
Actinomycosis,Other names: Actinomyces israeli;  Actinomycetes;  Anaerobic actinomyces infection;  Canaliculitis;  Keratoactinomycosis,diseases/5728/actinomycosis
Acute ackee fruit intoxication,Other names: Ackee poisoning,diseases/9299/acute-ackee-fruit-intoxication
Acute alcohol sensitivity,Other names: Alcohol intolerance;  Hangover;  susceptibility to,diseases/12634/acute-alcohol-sensitivity
Acute cholinergic dysautonomia,Other names: ACD,diseases/9394/acute-cholinergic-dysautonomia
Acute disseminated encephalomyelitis,Other names: ADE;  ADEM,diseases/8639/acute-disseminated-encephalomyelitis
